	Factor1	Factor2	Factor3	Factor4	Factor5
CYP4F8	0.17367639789527986	-0.37237962798653196	0.09963032789950214	-0.2393021534839482	-0.012918755484517963
NPY1R	0.2150560603686464	-0.2989490952668341	-0.20690729052468307	0.3326783074142831	-0.003507509326720119
LRP2	0.24382939928998593	-0.3285933071742957	-0.29022355171416986	0.23657040988606762	0.07017744877793956
AGR2	0.6883844187617271	-0.4541742493691536	0.030163110791415176	-0.06932919013205474	-0.026264955251554478
CST9	0.4876477680427206	-0.17937402794228388	-0.06499844714638255	0.4073582906503041	-0.04566332889999986
OBP2B	-0.29692259930913034	-0.28084793746976633	0.08711061212044822	-0.13437816407434305	0.12360794957489527
KCNC2	0.32742174541088803	-0.21447293203991633	-0.2296012953290287	0.11369606380427948	-0.030888582853137104
TCN1	-0.0872039243442954	-0.4785739656524321	0.005089038960139684	-0.010435906252730555	-0.0422517447092631
MUC16	-0.5424767832492905	-0.024528712686401298	-0.007603992798277499	-0.03444910674741768	-0.07133265835862566
ABCC11	0.42920045454037936	-0.35120051794943513	0.021943323060862295	-0.43350974581060636	-0.03456272228975631
GFRA1	0.5409506167124207	-0.3891910352214461	-0.025540341300740045	0.1782721000185587	0.016311707343946266
OLFM4	-0.4015441683563166	-0.3316734941080933	0.14387454888082593	-0.0020817702794170036	-0.006026750726786742
CYP2A6	0.25092466768013266	-0.2249724437621238	-0.29914910306982023	-0.012530682743556057	-0.00584996039359496
CP	-0.4630332473464025	-0.07668702827456254	0.055398392167190086	-0.26110843294540703	-0.007150693212042885
CLCA2	-0.17328897217047506	-0.3728258545417366	0.314478065350638	-0.49224368503265103	-0.04949821196397446
FAM5C	-0.15630034328508607	-0.169445146870794	0.18515201566185224	-0.35494569865659037	-0.04263284353284736
CRISP3	0.1192415092818013	-0.02551273694369252	0.1308229829620133	-0.31573125621495834	-0.08318700626761147
KRT81	-0.6155650634891919	-0.1340171574841467	0.18939224767742532	0.06555087006508688	-0.061840402496269035
PGR	0.4635052730435282	-0.5362918113203352	-0.2078259862870607	0.10615672158497044	0.020663570079967223
KRT6A	-0.6460454217871157	0.0025240888897425143	0.20904054948478756	0.08936845992054879	-0.17588694916151104
SLC34A2	-0.612708194618583	-0.27599127379501476	0.026215069432717036	-0.045337559794812576	-0.002550430901464705
KLK5	-0.669346816150945	-0.36283133700647624	0.2419475579644612	0.20953619780776123	-0.10303950552029781
KRT16	-0.7826283534657092	-0.06198718157535272	0.2714979590906285	0.08233295458588362	-0.12049320186807978
PROM1	-0.6584025618457474	-0.2024051523519312	0.07060577967602451	-0.029325885972624165	0.020041622748890913
MUC2	0.20413526228153325	0.021317923413528086	-0.21424773606785	0.006011499653181893	0.05515755815969335
DSG3	-0.6393274009691785	-0.37894360304097924	0.20873962536453636	0.3248788826436527	-0.11776667680537554
LBP	-0.2799716549690771	-0.0007639552227221235	0.22806084942330948	-0.48116104851039737	0.04726326518629093
PTPRT	0.3850569250256002	-0.5603554034046049	-0.15200446917423663	0.010193939003841445	-0.0023022512315717734
MSLN	-0.5560687055987245	0.14092957464395237	0.006315127119039726	0.07745625161909056	-0.10657253760635638
CARTPT	0.17670681203460595	-0.11110625158185583	-0.4146761846360673	0.03495950635361438	-0.00904258649843274
PIGR	-0.20041900223821907	-0.48474310768394546	0.10371328371191517	-0.18681974706581758	0.012344341911359115
KRT17	-0.6564930814305616	-0.458765045570687	0.2889138782199879	0.2720269717317548	-0.1347804615600673
NLRP2	-0.2061370441841976	-0.08058846147644079	0.0683771223875941	0.04356765705193458	0.0011418838778390486
A2ML1	-0.6920401549334466	0.30260192272014047	0.15851429476105455	-0.10350768930596432	-0.08843619702867103
CBLN2	0.14954304756368794	-0.14680597441094329	0.015863832034805174	0.1505031786844206	0.09077445735912582
SLITRK6	0.2387302779984536	-0.2957927846576452	-0.17241606368344053	0.0877750737824288	0.05097592934486363
