sample_id	PC1	PC2
TCGA-BH-A1EU-01	0.059233	0.165515
TCGA-BH-A1EV-01	-0.044021	-0.202803
TCGA-BH-A1EW-01	-0.071559	0.019620
TCGA-BH-A1EX-01	0.032317	-0.091451
TCGA-BH-A1EY-01	-0.062144	-0.067446
TCGA-BH-A1F0-01	0.430771	0.025969
TCGA-BH-A1F2-01	-0.079013	-0.150532
TCGA-BH-A1F5-01	-0.132626	-0.074803
TCGA-BH-A1F6-01	0.364684	-0.119811
TCGA-BH-A1F8-01	-0.129828	-0.219423
TCGA-BH-A1FB-01	0.091661	0.296670
TCGA-BH-A1FC-01	0.357121	-0.268573
TCGA-BH-A1FE-01	0.057107	0.078097
TCGA-BH-A1FG-01	-0.131464	0.063682
TCGA-BH-A1FH-01	0.037283	0.326861
TCGA-BH-A1FJ-01	-0.224052	-0.210785
TCGA-BH-A1FL-01	-0.179158	-0.061847
TCGA-BH-A1FM-01	-0.087428	-0.275030
TCGA-BH-A1FN-01	0.118622	-0.159027
TCGA-BH-A1FR-01	0.000836	-0.048047
TCGA-BH-A1FU-01	0.258406	0.083194
TCGA-BH-A201-01	0.089273	0.134607
TCGA-BH-A202-01	0.071761	-0.164761
TCGA-BH-A203-01	0.001939	0.020243
TCGA-BH-A204-01	-0.212828	-0.378863
TCGA-BH-A208-01	0.198574	0.074384
TCGA-BH-A209-01	0.207243	-0.087799
TCGA-BH-A28O-01	0.107936	0.415001
TCGA-BH-A28Q-01	-0.225464	0.141455
TCGA-BH-A2L8-01	-0.024755	0.276462
TCGA-BH-A42T-01	-0.200628	-0.064487
TCGA-BH-A42U-01	0.098730	0.359264
TCGA-BH-A42V-01	-0.077640	0.266711
TCGA-BH-A5IZ-01	0.354200	-0.067457
TCGA-BH-A5J0-01	-0.133973	0.083696
TCGA-BH-A6R8-01	-0.223294	-0.112224
TCGA-BH-A6R9-01	0.172423	0.159449
TCGA-BH-A8FY-01	-0.284481	-0.135966
TCGA-BH-A8FZ-01	-0.012920	0.340928
TCGA-BH-A8G0-01	-0.011271	0.399551
TCGA-BH-AB28-01	-0.154398	0.126374
TCGA-C8-A1HE-01	-0.163372	-0.076506
TCGA-C8-A1HF-01	0.101775	-0.195454
TCGA-C8-A1HG-01	0.087097	-0.237818
TCGA-C8-A1HI-01	-0.051286	0.016190
TCGA-C8-A1HJ-01	0.460886	-0.178446
TCGA-C8-A1HK-01	0.035225	-0.212318
TCGA-C8-A1HL-01	-0.135920	-0.259357
TCGA-C8-A1HM-01	-0.035265	-0.336175
TCGA-C8-A1HN-01	-0.113581	-0.360792
