modality	feature	canonical_component	loading
RNA-seq	C4orf7	CV5	0.01095
RNA-seq	SLC30A8	CV5	-0.028998
RNA-seq	VSTM2A	CV5	0.065661
RNA-seq	COL2A1	CV5	-0.099121
RNA-seq	CALML5	CV5	-0.019461
RNA-seq	ADIPOQ	CV5	-0.335154
RNA-seq	ADH1B	CV5	0.531194
RNA-seq	KRT14	CV5	-0.013203
RNA-seq	GP2	CV5	-0.063307
RNA-seq	GRIA2	CV5	0.088615
RNA-seq	MYBPC1	CV5	-0.133234
RNA-seq	CEACAM5	CV5	0.076348
RNA-seq	TFF3	CV5	0.136196
RNA-seq	C1orf64	CV5	-0.08812
RNA-seq	GABRP	CV5	0.16859
RNA-seq	SOX10	CV5	-0.070671
RNA-seq	KRT5	CV5	-0.143609
RNA-seq	MUC5B	CV5	0.09621
RNA-seq	FABP7	CV5	-0.004977
RNA-seq	GSTT1	CV5	0.007344
RNA-seq	LTF	CV5	-0.099019
RNA-seq	CRABP1	CV5	-0.073362
RNA-seq	KRT6B	CV5	0.011746
RNA-seq	SYT13	CV5	-0.017716
RNA-seq	CGA	CV5	0.021058
RNA-seq	KLK11	CV5	-0.019624
RNA-seq	STAC2	CV5	-0.044863
RNA-seq	CEACAM6	CV5	-0.080364
RNA-seq	HOXB13	CV5	-0.047507
RNA-seq	SLC5A8	CV5	0.06501
RNA-seq	C20orf114	CV5	-0.10122
RNA-seq	BMPR1B	CV5	0.019756
RNA-seq	BPIL1	CV5	0.023886
RNA-seq	PVALB	CV5	-0.011081
RNA-seq	CYP4F8	CV5	-0.013747
RNA-seq	NPY1R	CV5	0.034212
RNA-seq	LRP2	CV5	0.040592
RNA-seq	AGR2	CV5	0.137569
RNA-seq	CST9	CV5	-0.063489
RNA-seq	OBP2B	CV5	-0.064521
RNA-seq	KCNC2	CV5	0.045521
RNA-seq	TCN1	CV5	-0.014931
RNA-seq	MUC16	CV5	0.002281
RNA-seq	ABCC11	CV5	-0.015236
RNA-seq	GFRA1	CV5	0.037931
RNA-seq	OLFM4	CV5	0.031755
RNA-seq	CYP2A6	CV5	0.055069
RNA-seq	CP	CV5	-0.074022
RNA-seq	CLCA2	CV5	0.084294
RNA-seq	FAM5C	CV5	-0.046665
RNA-seq	CRISP3	CV5	0.02982
RNA-seq	KRT81	CV5	-0.013507
RNA-seq	PGR	CV5	-0.170133
RNA-seq	KRT6A	CV5	0.08789
RNA-seq	SLC34A2	CV5	-0.087371
RNA-seq	KLK5	CV5	-0.095466
RNA-seq	KRT16	CV5	-0.207869
RNA-seq	PROM1	CV5	0.019962
RNA-seq	MUC2	CV5	0.096592
RNA-seq	DSG3	CV5	-0.049369
RNA-seq	LBP	CV5	0.070223
RNA-seq	PTPRT	CV5	0.012255
RNA-seq	MSLN	CV5	0.059861
RNA-seq	CARTPT	CV5	0.048707
RNA-seq	PIGR	CV5	0.059709
RNA-seq	KRT17	CV5	0.017698
RNA-seq	NLRP2	CV5	0.000164
RNA-seq	A2ML1	CV5	0.106497
RNA-seq	CBLN2	CV5	0.09887
RNA-seq	SLITRK6	CV5	-0.109976
RNA-seq	KLK6	CV5	0.089578
RNA-seq	SERPINA11	CV5	0.023598
RNA-seq	TUSC5	CV5	0.2428
RNA-seq	CST1	CV5	0.020578
RNA-seq	KIF1A	CV5	0.010143
RNA-seq	AQP5	CV5	-0.131499
RNA-seq	KLK10	CV5	0.035468
RNA-seq	ELF5	CV5	0.019556
